review_id,product_id,user_id,date,rating,review_text,helpful_votes,contains_url,review_length_words,label,sentiment
R0045,P1020,U2130,13-02-2025,5,Awesome product. Great quality. Great price. Super fast delivery. Will buy again from this seller. Best seller 100% satisfied 100% satisfied,34,0,21,fake,positive
R0048,P1025,U2137,17-11-2025,5,Top-notch item. Exactly as described. Fast shipping. Trusted seller. A+++ ,0,0,10,fake,negative
R0005,P1017,U2031,22-01-2025,5,Highly recommend!!! Very satisfied!!! Excellent quality and perfect customer service!!! Five stars 100% satisfied,0,0,14,fake,positive
R0056,P1025,U2118,14-11-2025,5,Love it love it love it. Bought one for myself and one for my friend. Amazing value. Buy now Best seller 100% satisfied,0,1,23,fake,positive
R0027,P1017,U2003,05-04-2024,5,Excellent item. Highly recommended. Very fast shipping. Will buy again. 10/10. 100% satisfied 100% satisfied Buy now,15,1,17,fake,positive
R0065,P1013,U2034,17-04-2025,2,"The product is okay. Nothing outstanding. It does what it promises, but don't expect miracles. I've attached photos.",11,0,18,real,negative
R0074,P1013,U2045,18-06-2025,5,"The product is okay. Nothing outstanding. It does what it promises, but don't expect miracles.",17,0,15,real,negative
R0011,P1011,U2056,21-05-2024,5,Love it love it love it. Bought one for myself and one for my friend. Amazing value. Five stars Highly recommend,0,0,21,fake,positive
R0041,P1011,U2010,01-01-2025,3,Highly recommend!!! Very satisfied!!! Excellent quality and perfect customer service!!! Highly recommend,0,0,12,fake,neutral
R0108,P1010,U2048,01-09-2024,4,Fantastic purchase — exceeded my expectations. Very sturdy and the screen is crisp. Worth the money.,24,0,16,real,positive
R0019,P1019,U2108,04-08-2024,4,Works as advertised. Customer support answered my query within 24 hours. Overall a smooth experience. It arrived on time.,34,0,19,real,positive
R0063,P1012,U2086,15-11-2025,4,Not perfect but does the job. Sound quality is acceptable for casual listening. Controls are a bit fiddly though.,25,0,19,real,negative
R0012,P1005,U2108,02-09-2025,4,Best product ever!!! Buy now!!! Best seller!!! Five stars!!! ,0,1,9,fake,positive
R0037,P1003,U2141,08-06-2024,3,Delivery was faster than expected. Item arrived well-packed. Setup took about 10 minutes and the app is intuitive. Returned once due to defect but resolved.,17,0,25,real,neutral
R0090,P1002,U2040,03-01-2024,3,Delivery was faster than expected. Item arrived well-packed. Setup took about 10 minutes and the app is intuitive. It arrived on time.,26,0,22,real,neutral
R0092,P1006,U2108,27-04-2024,5,Awesome product. Great quality. Great price. Super fast delivery. Will buy again from this seller. Five stars Five stars,0,0,19,fake,positive
R0110,P1018,U2084,12-04-2024,5,I bought this a month ago and it's been working great. The battery life is solid and customer service was helpful when I had a minor issue. It arrived on time.,28,0,31,real,positive
R0001,P1004,U2026,23-11-2025,4,I bought this a month ago and it's been working great. The battery life is solid and customer service was helpful when I had a minor issue. Returned once due to defect but resolved.,34,0,34,real,positive
R0089,P1023,U2025,31-07-2024,5,This product is outstanding. Very reliable and high-quality. Definitely worth purchasing. ,16,0,11,fake,positive
R0105,P1004,U2098,14-07-2024,4,"Decent, but there are cheaper alternatives with similar specs. Battery drains a bit faster during heavy use. It arrived on time.",32,0,21,real,positive
R0066,P1012,U2071,07-03-2025,5,Top-notch item. Exactly as described. Fast shipping. Trusted seller. A+++ Best seller Best seller,0,0,14,fake,negative
R0046,P1008,U2045,17-08-2025,5,Best product ever!!! Buy now!!! Best seller!!! Five stars!!! ,16,1,9,fake,positive
R0032,P1001,U2020,05-03-2025,5,Good value and robust construction. I've already recommended it to friends. Helpful manual included. It arrived on time.,33,0,18,real,positive
R0071,P1022,U2050,18-03-2024,4,Good value and robust construction. I've already recommended it to friends. Helpful manual included.,15,0,14,real,positive
R0043,P1010,U2105,16-11-2025,5,I bought this a month ago and it's been working great. The battery life is solid and customer service was helpful when I had a minor issue. It arrived on time.,15,0,31,real,positive
R0013,P1023,U2029,29-11-2025,2,"Fantastic! Exactly what I needed. Brilliant seller, excellent packaging. 5 stars across the board. 100% satisfied 100% satisfied",17,0,18,fake,negative
R0016,P1017,U2135,01-01-2024,5,Delivery was faster than expected. Item arrived well-packed. Setup took about 10 minutes and the app is intuitive. Returned once due to defect but resolved.,20,0,25,real,positive
R0115,P1025,U2014,27-10-2024,1,Satisfactory for the price. Not exceptional but functional. Consider other options if you want premium features. I've attached photos.,22,0,19,real,negative
R0077,P1010,U2071,02-09-2025,5,"Fantastic! Exactly what I needed. Brilliant seller, excellent packaging. 5 stars across the board. Buy now Best seller",17,1,18,fake,positive
R0098,P1010,U2026,13-06-2024,4,"Decent, but there are cheaper alternatives with similar specs. Battery drains a bit faster during heavy use. Returned once due to defect but resolved.",21,0,24,real,positive
R0025,P1021,U2025,03-03-2024,5,Top-notch item. Exactly as described. Fast shipping. Trusted seller. A+++ Highly recommend Highly recommend,0,0,14,fake,negative
R0079,P1000,U2023,28-10-2024,4,"The product is okay. Nothing outstanding. It does what it promises, but don't expect miracles.",14,0,15,real,negative
R0023,P1015,U2054,06-07-2025,4,Good product for the price. Build quality is decent and the features match the description. Would recommend to someone on a budget. It arrived on time.,8,0,26,real,positive
R0097,P1005,U2149,22-03-2025,5,"Decent, but there are cheaper alternatives with similar specs. Battery drains a bit faster during heavy use.",31,0,17,real,positive
R0057,P1023,U2129,12-03-2025,5,Fantastic purchase — exceeded my expectations. Very sturdy and the screen is crisp. Worth the money.,28,0,16,real,positive
R0111,P1013,U2039,17-03-2024,5,"Fantastic! Exactly what I needed. Brilliant seller, excellent packaging. 5 stars across the board. ",0,0,14,fake,positive
R0031,P1002,U2060,17-02-2025,2,Good product for the price. Build quality is decent and the features match the description. Would recommend to someone on a budget. It arrived on time.,7,0,26,real,negative
R0054,P1020,U2147,18-07-2024,5,"Fantastic! Exactly what I needed. Brilliant seller, excellent packaging. 5 stars across the board. ",24,0,14,fake,positive
R0119,P1022,U2064,12-04-2025,5,"Fantastic! Exactly what I needed. Brilliant seller, excellent packaging. 5 stars across the board. 100% satisfied Best seller",12,0,18,fake,positive
R0010,P1020,U2117,26-05-2024,5,This product is outstanding. Very reliable and high-quality. Definitely worth purchasing. Best seller Highly recommend,0,0,15,fake,positive
R0034,P1019,U2144,12-04-2024,1,Satisfactory for the price. Not exceptional but functional. Consider other options if you want premium features. I've attached photos.,4,0,19,real,negative
R0026,P1004,U2108,06-07-2024,5,Excellent item. Highly recommended. Very fast shipping. Will buy again. 10/10. Buy now,0,1,13,fake,positive
R0070,P1005,U2079,20-04-2024,5,Average item. Good for occasional use. Packaging was fine. No surprises. I've attached photos.,1,0,14,real,positive
R0029,P1009,U2055,29-02-2024,3,Average item. Good for occasional use. Packaging was fine. No surprises.,34,0,11,real,neutral
R0099,P1001,U2116,31-03-2024,5,"Fantastic! Exactly what I needed. Brilliant seller, excellent packaging. 5 stars across the board. Five stars Highly recommend",0,0,18,fake,positive
R0086,P1008,U2122,26-04-2024,5,Fantastic purchase — exceeded my expectations. Very sturdy and the screen is crisp. Worth the money. It arrived on time.,4,0,20,real,positive
R0006,P1007,U2074,22-03-2024,3,This product is outstanding. Very reliable and high-quality. Definitely worth purchasing. Highly recommend Five stars,6,0,15,fake,neutral
R0091,P1007,U2073,16-10-2024,4,Good value and robust construction. I've already recommended it to friends. Helpful manual included.,29,0,14,real,positive
R0069,P1006,U2119,19-09-2024,5,"Fantastic! Exactly what I needed. Brilliant seller, excellent packaging. 5 stars across the board. ",10,0,14,fake,positive
R0040,P1003,U2019,01-06-2024,5,Works as advertised. Customer support answered my query within 24 hours. Overall a smooth experience.,34,0,15,real,positive
R0050,P1012,U2044,22-09-2025,5,"I got this product and it's unbelievable. Perfect in every way. 5 stars, would buy again and again. Buy now",0,1,20,fake,positive
R0036,P1000,U2141,02-11-2024,5,"Fantastic! Exactly what I needed. Brilliant seller, excellent packaging. 5 stars across the board. Five stars 100% satisfied",6,0,18,fake,positive
R0017,P1025,U2078,02-09-2024,5,Good product for the price. Build quality is decent and the features match the description. Would recommend to someone on a budget. Returned once due to defect but resolved.,3,0,29,real,positive
R0067,P1011,U2057,27-10-2025,5,Best product ever!!! Buy now!!! Best seller!!! Five stars!!! ,0,1,9,fake,positive
R0035,P1011,U2017,07-09-2024,3,Works as advertised. Customer support answered my query within 24 hours. Overall a smooth experience. Returned once due to defect but resolved.,23,0,22,real,neutral
R0114,P1003,U2025,30-03-2025,4,Average item. Good for occasional use. Packaging was fine. No surprises. I've attached photos.,10,0,14,real,positive
R0008,P1020,U2142,12-08-2024,4,Delivery was faster than expected. Item arrived well-packed. Setup took about 10 minutes and the app is intuitive.,20,0,18,real,positive
R0044,P1014,U2089,08-11-2024,5,Excellent item. Highly recommended. Very fast shipping. Will buy again. 10/10. 100% satisfied 100% satisfied Best seller,14,0,17,fake,positive
R0073,P1013,U2125,18-04-2024,1,Good product for the price. Build quality is decent and the features match the description. Would recommend to someone on a budget. Returned once due to defect but resolved.,27,0,29,real,negative
R0068,P1006,U2005,28-09-2025,5,I bought this a month ago and it's been working great. The battery life is solid and customer service was helpful when I had a minor issue. I've attached photos.,9,0,30,real,positive
R0084,P1001,U2141,26-10-2024,1,Delivery was faster than expected. Item arrived well-packed. Setup took about 10 minutes and the app is intuitive. Returned once due to defect but resolved.,8,0,25,real,negative
R0028,P1012,U2067,10-04-2025,5,"Fantastic! Exactly what I needed. Brilliant seller, excellent packaging. 5 stars across the board. Best seller Highly recommend Buy now",0,1,20,fake,positive
R0020,P1012,U2095,24-03-2025,5,Average item. Good for occasional use. Packaging was fine. No surprises. It arrived on time.,33,0,15,real,positive
R0096,P1021,U2068,13-08-2025,5,Awesome product. Great quality. Great price. Super fast delivery. Will buy again from this seller. ,0,0,15,fake,positive
R0101,P1024,U2013,27-07-2024,5,Good value and robust construction. I've already recommended it to friends. Helpful manual included.,17,0,14,real,positive
R0009,P1001,U2080,14-02-2025,4,Neither great nor terrible. It's acceptable for light usage. Design could be improved. I've attached photos.,17,0,16,real,positive
R0014,P1005,U2116,04-01-2024,4,Fantastic purchase — exceeded my expectations. Very sturdy and the screen is crisp. Worth the money. I've attached photos.,16,0,19,real,positive
R0085,P1000,U2146,18-10-2024,3,Neither great nor terrible. It's acceptable for light usage. Design could be improved.,30,0,13,real,neutral
R0004,P1024,U2086,14-04-2024,3,Fantastic purchase — exceeded my expectations. Very sturdy and the screen is crisp. Worth the money. Returned once due to defect but resolved.,5,0,23,real,neutral
R0018,P1015,U2017,29-06-2025,4,This product is outstanding. Very reliable and high-quality. Definitely worth purchasing. ,8,0,11,fake,positive
R0039,P1024,U2033,14-10-2025,1,"I got this product and it's unbelievable. Perfect in every way. 5 stars, would buy again and again. ",10,0,18,fake,negative
R0118,P1025,U2119,21-10-2024,5,"Decent, but there are cheaper alternatives with similar specs. Battery drains a bit faster during heavy use. Returned once due to defect but resolved.",34,0,24,real,positive
R0007,P1022,U2018,15-09-2025,5,"Fantastic! Exactly what I needed. Brilliant seller, excellent packaging. 5 stars across the board. Buy now Best seller",34,1,18,fake,positive
R0078,P1023,U2104,15-05-2025,2,Works as advertised. Customer support answered my query within 24 hours. Overall a smooth experience. It arrived on time.,15,0,19,real,negative
R0112,P1010,U2136,24-01-2025,5,Fantastic purchase — exceeded my expectations. Very sturdy and the screen is crisp. Worth the money.,20,0,16,real,positive
R0095,P1001,U2110,26-11-2024,2,"Decent, but there are cheaper alternatives with similar specs. Battery drains a bit faster during heavy use.",16,0,17,real,negative
R0055,P1000,U2027,11-03-2025,5,I've been using this for a week now. The performance is consistent and it does exactly what I needed. No complaints so far. It arrived on time.,14,0,27,real,positive
R0051,P1020,U2082,21-04-2025,5,Best product ever!!! Buy now!!! Best seller!!! Five stars!!! Best seller Highly recommend,0,1,13,fake,positive
R0081,P1003,U2049,19-11-2024,4,Not perfect but does the job. Sound quality is acceptable for casual listening. Controls are a bit fiddly though. Returned once due to defect but resolved.,7,0,26,real,negative
R0047,P1003,U2098,13-08-2025,5,This product is outstanding. Very reliable and high-quality. Definitely worth purchasing. Best seller Five stars Highly recommend,0,0,17,fake,positive
R0082,P1023,U2123,10-10-2024,3,Neither great nor terrible. It's acceptable for light usage. Design could be improved. It arrived on time.,33,0,17,real,neutral
R0062,P1013,U2137,13-07-2025,5,Highly recommend!!! Very satisfied!!! Excellent quality and perfect customer service!!! Five stars 100% satisfied,14,0,14,fake,positive
R0117,P1018,U2036,25-08-2024,4,Product arrived with a small scratch but it doesn't affect functionality. Seller responded quickly and offered a partial refund. It arrived on time.,29,0,23,real,negative
R0080,P1011,U2108,17-07-2025,5,Awesome product. Great quality. Great price. Super fast delivery. Will buy again from this seller. Five stars Best seller,0,0,19,fake,positive
R0094,P1014,U2077,16-02-2025,4,Middling experience. Works but has minor quirks. If you need a basic unit it will do. Returned once due to defect but resolved.,17,0,23,real,positive
R0042,P1019,U2039,30-08-2024,5,Excellent item. Highly recommended. Very fast shipping. Will buy again. 10/10. Five stars 100% satisfied,11,0,15,fake,positive
R0059,P1008,U2112,20-03-2024,5,Works as advertised. Customer support answered my query within 24 hours. Overall a smooth experience.,18,0,15,real,positive
R0049,P1016,U2079,13-11-2025,5,Highly recommend!!! Very satisfied!!! Excellent quality and perfect customer service!!! Five stars Buy now,0,1,14,fake,positive
R0102,P1022,U2124,04-05-2024,4,Satisfactory for the price. Not exceptional but functional. Consider other options if you want premium features. Returned once due to defect but resolved.,1,0,23,real,negative
R0058,P1024,U2063,14-10-2025,4,Average item. Good for occasional use. Packaging was fine. No surprises.,17,0,11,real,positive
R0076,P1007,U2118,06-08-2025,5,Good product for the price. Build quality is decent and the features match the description. Would recommend to someone on a budget. Returned once due to defect but resolved.,24,0,29,real,positive
R0033,P1008,U2101,14-05-2024,5,"I got this product and it's unbelievable. Perfect in every way. 5 stars, would buy again and again. Five stars",19,0,20,fake,positive
R0113,P1001,U2017,28-08-2024,5,Satisfactory for the price. Not exceptional but functional. Consider other options if you want premium features.,18,0,16,real,negative
R0060,P1012,U2039,07-08-2024,4,Highly recommend!!! Very satisfied!!! Excellent quality and perfect customer service!!! 100% satisfied Buy now,0,1,14,fake,positive
R0064,P1019,U2136,28-01-2024,5,Middling experience. Works but has minor quirks. If you need a basic unit it will do.,25,0,16,real,positive
R0106,P1025,U2106,14-12-2024,4,Delivery was faster than expected. Item arrived well-packed. Setup took about 10 minutes and the app is intuitive. I've attached photos.,32,0,21,real,positive
R0038,P1015,U2064,22-02-2024,4,Awesome product. Great quality. Great price. Super fast delivery. Will buy again from this seller. Best seller Five stars,0,0,19,fake,positive
R0030,P1015,U2128,27-06-2025,3,Highly recommend!!! Very satisfied!!! Excellent quality and perfect customer service!!! ,0,0,10,fake,neutral
R0116,P1025,U2046,23-06-2024,5,Amazing! Works perfectly. I love it so much. Everyone should buy this. Highly recommend. Highly recommend,0,0,16,fake,positive
R0002,P1006,U2059,01-06-2025,3,Top-notch item. Exactly as described. Fast shipping. Trusted seller. A+++ ,12,0,10,fake,negative
R0053,P1009,U2057,22-07-2024,4,This product is outstanding. Very reliable and high-quality. Definitely worth purchasing. Buy now 100% satisfied,0,1,15,fake,positive
R0022,P1001,U2058,10-03-2024,5,I bought this a month ago and it's been working great. The battery life is solid and customer service was helpful when I had a minor issue. I've attached photos.,2,0,30,real,positive
R0003,P1018,U2071,07-01-2024,4,Average item. Good for occasional use. Packaging was fine. No surprises.,10,0,11,real,positive
R0024,P1015,U2104,13-07-2024,4,Satisfactory for the price. Not exceptional but functional. Consider other options if you want premium features.,6,0,16,real,negative
R0104,P1009,U2130,06-10-2024,5,Excellent item. Highly recommended. Very fast shipping. Will buy again. 10/10. 100% satisfied Five stars Buy now,0,1,17,fake,positive
R0100,P1017,U2118,27-02-2025,5,Top-notch item. Exactly as described. Fast shipping. Trusted seller. A+++ ,0,0,10,fake,negative
R0088,P1014,U2113,31-10-2024,5,Love it love it love it. Bought one for myself and one for my friend. Amazing value. Five stars Five stars Best seller,27,0,23,fake,positive
R0109,P1015,U2097,30-01-2025,5,Top-notch item. Exactly as described. Fast shipping. Trusted seller. A+++ ,9,0,10,fake,negative
R0075,P1023,U2068,26-11-2024,4,Satisfactory for the price. Not exceptional but functional. Consider other options if you want premium features.,15,0,16,real,negative
R0087,P1025,U2144,07-11-2024,4,Excellent item. Highly recommended. Very fast shipping. Will buy again. 10/10. ,0,0,11,fake,positive
R0083,P1011,U2045,05-11-2024,4,Good product for the price. Build quality is decent and the features match the description. Would recommend to someone on a budget. It arrived on time.,0,0,26,real,positive
R0120,P1012,U2146,02-01-2025,3,Middling experience. Works but has minor quirks. If you need a basic unit it will do.,18,0,16,real,neutral
R0021,P1000,U2150,21-07-2025,2,I've been using this for a week now. The performance is consistent and it does exactly what I needed. No complaints so far. It arrived on time.,14,0,27,real,negative
R0061,P1018,U2005,12-08-2025,5,Love it love it love it. Bought one for myself and one for my friend. Amazing value. Highly recommend Best seller Highly recommend,0,0,23,fake,positive
R0072,P1018,U2010,21-12-2024,5,"I got this product and it's unbelievable. Perfect in every way. 5 stars, would buy again and again. ",0,0,18,fake,positive
R0107,P1021,U2125,01-06-2024,5,Best product ever!!! Buy now!!! Best seller!!! Five stars!!! Five stars 100% satisfied,0,1,13,fake,positive
R0015,P1003,U2076,16-10-2025,5,Neither great nor terrible. It's acceptable for light usage. Design could be improved. It arrived on time.,32,0,17,real,positive
R0093,P1002,U2015,18-06-2024,5,Satisfactory for the price. Not exceptional but functional. Consider other options if you want premium features. Returned once due to defect but resolved.,19,0,23,real,negative
R0052,P1025,U2043,05-11-2025,5,Works as advertised. Customer support answered my query within 24 hours. Overall a smooth experience.,5,0,15,real,positive
R0103,P1009,U2141,15-01-2024,5,Good value and robust construction. I've already recommended it to friends. Helpful manual included. It arrived on time.,26,0,18,real,positive
